Survived,Age,Fare,FamilySize,IsAlone,male,Pclass_2,Pclass_3,Embarked_Q,Embarked_S
0,22.0,7.25,2,0,True,False,True,False,True
1,38.0,71.2833,2,0,False,False,False,False,False
1,26.0,7.925,1,1,False,False,True,False,True
1,35.0,53.1,2,0,False,False,False,False,True
0,35.0,8.05,1,1,True,False,True,False,True
0,28.0,8.4583,1,1,True,False,True,True,False
0,54.0,51.8625,1,1,True,False,False,False,True
0,2.0,21.075,5,0,True,False,True,False,True
1,27.0,11.1333,3,0,False,False,True,False,True
1,14.0,30.0708,2,0,False,True,False,False,False
1,4.0,16.7,3,0,False,False,True,False,True
1,58.0,26.55,1,1,False,False,False,False,True
0,20.0,8.05,1,1,True,False,True,False,True
0,39.0,31.275,7,0,True,False,True,False,True
0,14.0,7.8542,1,1,False,False,True,False,True
1,55.0,16.0,1,1,False,True,False,False,True
0,2.0,29.125,6,0,True,False,True,True,False
1,28.0,13.0,1,1,True,True,False,False,True
0,31.0,18.0,2,0,False,False,True,False,True
1,28.0,7.225,1,1,False,False,True,False,False
0,35.0,26.0,1,1,True,True,False,False,True
1,34.0,13.0,1,1,True,True,False,False,True
1,15.0,8.0292,1,1,False,False,True,True,False
1,28.0,35.5,1,1,True,False,False,False,True
0,8.0,21.075,5,0,False,False,True,False,True
1,38.0,31.3875,7,0,False,False,True,False,True
0,28.0,7.225,1,1,True,False,True,False,False
0,19.0,263.0,6,0,True,False,False,False,True
1,28.0,7.8792,1,1,False,False,True,True,False
0,28.0,7.8958,1,1,True,False,True,False,True
0,40.0,27.7208,1,1,True,False,False,False,False
1,28.0,146.5208,2,0,False,False,False,False,False
1,28.0,7.75,1,1,False,False,True,True,False
0,66.0,10.5,1,1,True,True,False,False,True
0,28.0,82.1708,2,0,True,False,False,False,False
0,42.0,52.0,2,0,True,False,False,False,True
1,28.0,7.2292,1,1,True,False,True,False,False
0,21.0,8.05,1,1,True,False,True,False,True
0,18.0,18.0,3,0,False,False,True,False,True
1,14.0,11.2417,2,0,False,False,True,False,False
0,40.0,9.475,2,0,False,False,True,False,True
0,27.0,21.0,2,0,False,True,False,False,True
0,28.0,7.8958,1,1,True,False,True,False,False
1,3.0,41.5792,4,0,False,True,False,False,False
1,19.0,7.8792,1,1,False,False,True,True,False
0,28.0,8.05,1,1,True,False,True,False,True
0,28.0,15.5,2,0,True,False,True,True,False
1,28.0,7.75,1,1,False,False,True,True,False
0,28.0,21.6792,3,0,True,False,True,False,False
0,18.0,17.8,2,0,False,False,True,False,True
0,7.0,39.6875,6,0,True,False,True,False,True
0,21.0,7.8,1,1,True,False,True,False,True
1,49.0,76.7292,2,0,False,False,False,False,False
1,29.0,26.0,2,0,False,True,False,False,True
0,65.0,61.9792,2,0,True,False,False,False,False
1,28.0,35.5,1,1,True,False,False,False,True
1,21.0,10.5,1,1,False,True,False,False,True
0,28.5,7.2292,1,1,True,False,True,False,False
1,5.0,27.75,4,0,False,True,False,False,True
0,11.0,46.9,8,0,True,False,True,False,True
0,22.0,7.2292,1,1,True,False,True,False,False
1,38.0,80.0,1,1,False,False,False,False,True
0,45.0,83.475,2,0,True,False,False,False,True
0,4.0,27.9,6,0,True,False,True,False,True
0,28.0,27.7208,1,1,True,False,False,False,False
1,28.0,15.2458,3,0,True,False,True,False,False
1,29.0,10.5,1,1,False,True,False,False,True
0,19.0,8.1583,1,1,True,False,True,False,True
1,17.0,7.925,7,0,False,False,True,False,True
0,26.0,8.6625,3,0,True,False,True,False,True
0,32.0,10.5,1,1,True,True,False,False,True
0,16.0,46.9,8,0,False,False,True,False,True
0,21.0,73.5,1,1,True,True,False,False,True
0,26.0,14.4542,2,0,True,False,True,False,False
1,32.0,56.4958,1,1,True,False,True,False,True
0,25.0,7.65,1,1,True,False,True,False,True
0,28.0,7.8958,1,1,True,False,True,False,True
0,28.0,8.05,1,1,True,False,True,False,True
1,0.83,29.0,3,0,True,True,False,False,True
1,30.0,12.475,1,1,False,False,True,False,True
0,22.0,9.0,1,1,True,False,True,False,True
1,29.0,9.5,1,1,True,False,True,False,True
1,28.0,7.7875,1,1,False,False,True,True,False
0,28.0,47.1,1,1,True,False,False,False,True
1,17.0,10.5,1,1,False,True,False,False,True
1,33.0,15.85,4,0,False,False,True,False,True
0,16.0,34.375,5,0,True,False,True,False,True
0,28.0,8.05,1,1,True,False,True,False,True
1,23.0,263.0,6,0,False,False,False,False,True
0,24.0,8.05,1,1,True,False,True,False,True
0,29.0,8.05,1,1,True,False,True,False,True
0,20.0,7.8542,1,1,True,False,True,False,True
0,46.0,61.175,2,0,True,False,False,False,True
0,26.0,20.575,4,0,True,False,True,False,True
0,59.0,7.25,1,1,True,False,True,False,True
0,28.0,8.05,1,1,True,False,True,False,True
0,71.0,34.6542,1,1,True,False,False,False,False
1,23.0,63.3583,2,0,True,False,False,False,False
1,34.0,23.0,2,0,False,True,False,False,True
0,34.0,26.0,2,0,True,True,False,False,True
0,28.0,7.8958,1,1,False,False,True,False,True
0,28.0,7.8958,1,1,True,False,True,False,True
0,21.0,77.2875,2,0,True,False,False,False,True
0,33.0,8.6542,1,1,True,False,True,False,True
0,37.0,7.925,3,0,True,False,True,False,True
0,28.0,7.8958,1,1,True,False,True,False,True
1,21.0,7.65,1,1,False,False,True,False,True
1,28.0,7.775,1,1,True,False,True,False,True
0,38.0,7.8958,1,1,True,False,True,False,True
1,28.0,24.15,2,0,False,False,True,True,False
0,47.0,52.0,1,1,True,False,False,False,True
0,14.5,14.4542,2,0,False,False,True,False,False
0,22.0,8.05,1,1,True,False,True,False,True
0,20.0,9.825,2,0,False,False,True,False,True
0,17.0,14.4583,1,1,False,False,True,False,False
0,21.0,7.925,1,1,True,False,True,False,True
0,70.5,7.75,1,1,True,False,True,True,False
0,29.0,21.0,2,0,True,True,False,False,True
0,24.0,247.5208,2,0,True,False,False,False,False
0,2.0,31.275,7,0,False,False,True,False,True
0,21.0,73.5,3,0,True,True,False,False,True
0,28.0,8.05,1,1,True,False,True,False,True
0,32.5,30.0708,2,0,True,True,False,False,False
1,32.5,13.0,1,1,False,True,False,False,True
0,54.0,77.2875,2,0,True,False,False,False,True
1,12.0,11.2417,2,0,True,False,True,False,False
0,28.0,7.75,1,1,True,False,True,True,False
1,24.0,7.1417,1,1,True,False,True,False,True
1,28.0,22.3583,3,0,False,False,True,False,False
0,45.0,6.975,1,1,True,False,True,False,True
0,33.0,7.8958,1,1,True,False,True,False,False
0,20.0,7.05,1,1,True,False,True,False,True
0,47.0,14.5,2,0,False,False,True,False,True
1,29.0,26.0,2,0,False,True,False,False,True
0,25.0,13.0,1,1,True,True,False,False,True
0,23.0,15.0458,1,1,True,True,False,False,False
1,19.0,26.2833,3,0,False,False,False,False,True
0,37.0,53.1,2,0,True,False,False,False,True
0,16.0,9.2167,1,1,True,False,True,False,True
0,24.0,79.2,1,1,True,False,False,False,False
0,28.0,15.2458,3,0,False,False,True,False,False
1,22.0,7.75,1,1,False,False,True,False,True
1,24.0,15.85,2,0,False,False,True,False,True
0,19.0,6.75,1,1,True,False,True,True,False
0,18.0,11.5,1,1,True,True,False,False,True
0,19.0,36.75,3,0,True,True,False,False,True
1,27.0,7.7958,1,1,True,False,True,False,True
0,9.0,34.375,5,0,False,False,True,False,True
0,36.5,26.0,3,0,True,True,False,False,True
0,42.0,13.0,1,1,True,True,False,False,True
0,51.0,12.525,1,1,True,True,False,False,True
1,22.0,66.6,2,0,False,False,False,False,True
0,55.5,8.05,1,1,True,False,True,False,True
0,40.5,14.5,3,0,True,False,True,False,True
0,28.0,7.3125,1,1,True,False,True,False,True
0,51.0,61.3792,2,0,True,False,False,False,False
1,16.0,7.7333,1,1,False,False,True,True,False
0,30.0,8.05,1,1,True,False,True,False,True
0,28.0,8.6625,1,1,True,False,True,False,True
0,28.0,69.55,11,0,True,False,True,False,True
0,44.0,16.1,2,0,True,False,True,False,True
1,40.0,15.75,1,1,False,True,False,False,True
0,26.0,7.775,1,1,True,False,True,False,True
0,17.0,8.6625,1,1,True,False,True,False,True
0,1.0,39.6875,6,0,True,False,True,False,True
1,9.0,20.525,3,0,True,False,True,False,True
1,28.0,55.0,2,0,False,False,False,False,True
0,45.0,27.9,6,0,False,False,True,False,True
0,28.0,25.925,1,1,True,False,False,False,True
0,28.0,56.4958,1,1,True,False,True,False,True
0,61.0,33.5,1,1,True,False,False,False,True
0,4.0,29.125,6,0,True,False,True,True,False
1,1.0,11.1333,3,0,False,False,True,False,True
0,21.0,7.925,1,1,True,False,True,False,True
0,56.0,30.6958,1,1,True,False,False,False,False
0,18.0,7.8542,3,0,True,False,True,False,True
0,28.0,25.4667,5,0,True,False,True,False,True
0,50.0,28.7125,1,1,False,False,False,False,False
0,30.0,13.0,1,1,True,True,False,False,True
0,36.0,0.0,1,1,True,False,True,False,True
0,28.0,69.55,11,0,False,False,True,False,True
0,28.0,15.05,1,1,True,True,False,False,False
0,9.0,31.3875,7,0,True,False,True,False,True
1,1.0,39.0,4,0,True,True,False,False,True
1,4.0,22.025,3,0,False,False,True,False,True
0,28.0,50.0,1,1,True,False,False,False,True
1,28.0,15.5,2,0,False,False,True,True,False
1,45.0,26.55,1,1,True,False,False,False,True
0,40.0,15.5,3,0,True,False,True,True,False
0,36.0,7.8958,1,1,True,False,True,False,True
1,32.0,13.0,1,1,False,True,False,False,True
0,19.0,13.0,1,1,True,True,False,False,True
1,19.0,7.8542,2,0,False,False,True,False,True
1,3.0,26.0,3,0,True,True,False,False,True
1,44.0,27.7208,1,1,False,False,False,False,False
1,58.0,146.5208,1,1,False,False,False,False,False
0,28.0,7.75,1,1,True,False,True,True,False
0,42.0,8.4042,2,0,True,False,True,False,True
1,28.0,7.75,1,1,False,False,True,True,False
0,24.0,13.0,1,1,False,True,False,False,True
0,28.0,9.5,1,1,True,False,True,False,True
0,28.0,69.55,11,0,True,False,True,False,True
0,34.0,6.4958,1,1,True,False,True,False,True
0,45.5,7.225,1,1,True,False,True,False,False
1,18.0,8.05,1,1,True,False,True,False,True
0,2.0,10.4625,2,0,False,False,True,False,True
0,32.0,15.85,2,0,True,False,True,False,True
1,26.0,18.7875,1,1,True,False,True,False,False
1,16.0,7.75,1,1,False,False,True,True,False
1,40.0,31.0,1,1,True,False,False,False,False
0,24.0,7.05,1,1,True,False,True,False,True
1,35.0,21.0,1,1,False,True,False,False,True
0,22.0,7.25,1,1,True,False,True,False,True
0,30.0,13.0,1,1,True,True,False,False,True
0,28.0,7.75,2,0,True,False,True,True,False
1,31.0,113.275,2,0,False,False,False,False,False
1,27.0,7.925,1,1,False,False,True,False,True
0,42.0,27.0,2,0,True,True,False,False,True
1,32.0,76.2917,1,1,False,False,False,False,False
0,30.0,10.5,1,1,True,True,False,False,True
1,16.0,8.05,1,1,True,False,True,False,True
0,27.0,13.0,1,1,True,True,False,False,True
0,51.0,8.05,1,1,True,False,True,False,True
0,28.0,7.8958,1,1,True,False,True,False,True
1,38.0,90.0,2,0,True,False,False,False,True
0,22.0,9.35,1,1,True,False,True,False,True
1,19.0,10.5,1,1,True,True,False,False,True
0,20.5,7.25,1,1,True,False,True,False,True
0,18.0,13.0,1,1,True,True,False,False,True
0,28.0,25.4667,5,0,False,False,True,False,True
1,35.0,83.475,2,0,False,False,False,False,True
0,29.0,7.775,1,1,True,False,True,False,True
0,59.0,13.5,1,1,True,True,False,False,True
1,5.0,31.3875,7,0,False,False,True,False,True
0,24.0,10.5,1,1,True,True,False,False,True
0,28.0,7.55,1,1,False,False,True,False,True
0,44.0,26.0,2,0,True,True,False,False,True
1,8.0,26.25,3,0,False,True,False,False,True
0,19.0,10.5,1,1,True,True,False,False,True
0,33.0,12.275,1,1,True,True,False,False,True
0,28.0,14.4542,2,0,False,False,True,False,False
1,28.0,15.5,2,0,False,False,True,True,False
0,29.0,10.5,1,1,True,True,False,False,True
0,22.0,7.125,1,1,True,False,True,False,True
0,30.0,7.225,1,1,True,False,True,False,False
0,44.0,90.0,3,0,True,False,False,True,False
0,25.0,7.775,1,1,False,False,True,False,True
1,24.0,14.5,3,0,False,True,False,False,True
1,37.0,52.5542,3,0,True,False,False,False,True
0,54.0,26.0,2,0,True,True,False,False,True
0,28.0,7.25,1,1,True,False,True,False,True
0,29.0,10.4625,3,0,False,False,True,False,True
0,62.0,26.55,1,1,True,False,False,False,True
0,30.0,16.1,2,0,True,False,True,False,True
0,41.0,20.2125,3,0,False,False,True,False,True
1,29.0,15.2458,3,0,False,False,True,False,False
1,28.0,79.2,1,1,False,False,False,False,False
1,30.0,86.5,1,1,False,False,False,False,True
1,35.0,512.3292,1,1,False,False,False,False,False
1,50.0,26.0,2,0,False,True,False,False,True
0,28.0,7.75,1,1,True,False,True,True,False
1,3.0,31.3875,7,0,True,False,True,False,True
0,52.0,79.65,3,0,True,False,False,False,True
0,40.0,0.0,1,1,True,False,False,False,True
0,28.0,7.75,1,1,False,False,True,True,False
0,36.0,10.5,1,1,True,True,False,False,True
0,16.0,39.6875,6,0,True,False,True,False,True
1,25.0,7.775,2,0,True,False,True,False,True
1,58.0,153.4625,2,0,False,False,False,False,True
1,35.0,135.6333,1,1,False,False,False,False,True
0,28.0,31.0,1,1,True,False,False,False,True
1,25.0,0.0,1,1,True,False,True,False,True
1,41.0,19.5,2,0,False,True,False,False,True
0,37.0,29.7,2,0,True,False,False,False,False
1,28.0,7.75,1,1,False,False,True,True,False
1,63.0,77.9583,2,0,False,False,False,False,True
0,45.0,7.75,1,1,False,False,True,False,True
0,28.0,0.0,1,1,True,True,False,False,True
0,7.0,29.125,6,0,True,False,True,True,False
1,35.0,20.25,3,0,False,False,True,False,True
0,65.0,7.75,1,1,True,False,True,True,False
0,28.0,7.8542,1,1,True,False,True,False,True
0,16.0,9.5,1,1,True,False,True,False,True
1,19.0,8.05,1,1,True,False,True,False,True
0,28.0,26.0,1,1,True,False,False,False,True
0,33.0,8.6625,1,1,True,False,True,False,False
1,30.0,9.5,1,1,True,False,True,False,True
0,22.0,7.8958,1,1,True,False,True,False,True
1,42.0,13.0,1,1,True,True,False,False,True
1,22.0,7.75,1,1,False,False,True,True,False
1,26.0,78.85,1,1,False,False,False,False,True
1,19.0,91.0792,2,0,False,False,False,False,False
0,36.0,12.875,1,1,True,True,False,False,False
0,24.0,8.85,1,1,False,False,True,False,True
0,24.0,7.8958,1,1,True,False,True,False,True
0,28.0,27.7208,1,1,True,False,False,False,False
0,23.5,7.2292,1,1,True,False,True,False,False
0,2.0,151.55,4,0,False,False,False,False,True
1,28.0,30.5,1,1,True,False,False,False,True
1,50.0,247.5208,2,0,False,False,False,False,False
1,28.0,7.75,1,1,False,False,True,True,False
1,28.0,23.25,3,0,True,False,True,True,False
0,19.0,0.0,1,1,True,False,True,False,True
1,28.0,12.35,1,1,False,True,False,True,False
0,28.0,8.05,1,1,True,False,True,False,True
1,0.92,151.55,4,0,True,False,False,False,True
1,28.0,110.8833,1,1,False,False,False,False,False
1,17.0,108.9,2,0,False,False,False,False,False
0,30.0,24.0,2,0,True,True,False,False,False
1,30.0,56.9292,1,1,False,False,False,False,False
1,24.0,83.1583,1,1,False,False,False,False,False
1,18.0,262.375,5,0,False,False,False,False,False
0,26.0,26.0,3,0,False,True,False,False,True
0,28.0,7.8958,1,1,True,False,True,False,True
0,43.0,26.25,3,0,True,True,False,False,True
1,26.0,7.8542,1,1,False,False,True,False,True
1,24.0,26.0,2,0,False,True,False,False,True
0,54.0,14.0,1,1,True,True,False,False,True
1,31.0,164.8667,3,0,False,False,False,False,True
1,40.0,134.5,3,0,False,False,False,False,False
0,22.0,7.25,1,1,True,False,True,False,True
0,27.0,7.8958,1,1,True,False,True,False,True
1,30.0,12.35,1,1,False,True,False,True,False
1,22.0,29.0,3,0,False,True,False,False,True
0,28.0,69.55,11,0,True,False,True,False,True
1,36.0,135.6333,1,1,False,False,False,False,False
0,61.0,6.2375,1,1,True,False,True,False,True
1,36.0,13.0,1,1,False,True,False,False,True
1,31.0,20.525,3,0,False,False,True,False,True
1,16.0,57.9792,2,0,False,False,False,False,False
1,28.0,23.25,3,0,False,False,True,True,False
0,45.5,28.5,1,1,True,False,False,False,True
0,38.0,153.4625,2,0,True,False,False,False,True
0,16.0,18.0,3,0,True,False,True,False,True
1,28.0,133.65,2,0,False,False,False,False,True
0,28.0,7.8958,1,1,True,False,True,False,True
0,29.0,66.6,2,0,True,False,False,False,True
1,41.0,134.5,1,1,False,False,False,False,False
1,45.0,8.05,1,1,True,False,True,False,True
0,45.0,35.5,1,1,True,False,False,False,True
1,2.0,26.0,3,0,True,True,False,False,True
1,24.0,263.0,6,0,False,False,False,False,True
0,28.0,13.0,1,1,True,True,False,False,True
0,25.0,13.0,1,1,True,True,False,False,True
0,36.0,13.0,1,1,True,True,False,False,True
1,24.0,13.0,1,1,False,True,False,False,True
1,40.0,13.0,1,1,False,True,False,False,True
1,28.0,16.1,2,0,False,False,True,False,True
1,3.0,15.9,3,0,True,False,True,False,True
0,42.0,8.6625,1,1,True,False,True,False,True
0,23.0,9.225,1,1,True,False,True,False,True
0,28.0,35.0,1,1,True,False,False,False,True
0,15.0,7.2292,3,0,True,False,True,False,False
0,25.0,17.8,2,0,True,False,True,False,True
0,28.0,7.225,1,1,True,False,True,False,False
0,28.0,9.5,1,1,True,False,True,False,True
1,22.0,55.0,2,0,False,False,False,False,True
0,38.0,13.0,1,1,False,True,False,False,True
1,28.0,7.8792,1,1,False,False,True,True,False
1,28.0,7.8792,1,1,False,False,True,True,False
0,40.0,27.9,6,0,True,False,True,False,True
0,29.0,27.7208,2,0,True,True,False,False,False
0,45.0,14.4542,2,0,False,False,True,False,False
0,35.0,7.05,1,1,True,False,True,False,True
0,28.0,15.5,2,0,True,False,True,True,False
0,30.0,7.25,1,1,True,False,True,False,True
1,60.0,75.25,2,0,False,False,False,False,False
1,28.0,7.2292,1,1,False,False,True,False,False
1,28.0,7.75,1,1,False,False,True,True,False
1,24.0,69.3,1,1,False,False,False,False,False
1,25.0,55.4417,2,0,True,False,False,False,False
0,18.0,6.4958,2,0,True,False,True,False,True
0,19.0,8.05,1,1,True,False,True,False,True
0,22.0,135.6333,1,1,True,False,False,False,False
0,3.0,21.075,5,0,False,False,True,False,True
1,28.0,82.1708,2,0,False,False,False,False,False
1,22.0,7.25,1,1,False,False,True,False,True
0,27.0,211.5,3,0,True,False,False,False,False
0,20.0,4.0125,1,1,True,False,True,False,False
0,19.0,7.775,1,1,True,False,True,False,True
1,42.0,227.525,1,1,False,False,False,False,False
1,1.0,15.7417,3,0,False,False,True,False,False
0,32.0,7.925,1,1,True,False,True,False,True
1,35.0,52.0,2,0,False,False,False,False,True
0,28.0,7.8958,1,1,True,False,True,False,True
0,18.0,73.5,1,1,True,True,False,False,True
0,1.0,46.9,8,0,True,False,True,False,True
1,36.0,13.0,1,1,False,True,False,False,True
0,28.0,7.7292,1,1,True,False,True,True,False
1,17.0,12.0,1,1,False,True,False,False,False
1,36.0,120.0,4,0,True,False,False,False,True
1,21.0,7.7958,1,1,True,False,True,False,True
0,28.0,7.925,3,0,True,False,True,False,True
1,23.0,113.275,2,0,False,False,False,False,False
1,24.0,16.7,3,0,False,False,True,False,True
0,22.0,7.7958,1,1,True,False,True,False,True
0,31.0,7.8542,1,1,False,False,True,False,True
0,46.0,26.0,1,1,True,True,False,False,True
0,23.0,10.5,1,1,True,True,False,False,True
1,28.0,12.65,1,1,False,True,False,False,True
1,39.0,7.925,1,1,True,False,True,False,True
0,26.0,8.05,1,1,True,False,True,False,True
0,21.0,9.825,2,0,False,False,True,False,True
0,28.0,15.85,2,0,True,False,True,False,True
0,20.0,8.6625,1,1,False,False,True,False,True
0,34.0,21.0,2,0,True,True,False,False,True
0,51.0,7.75,1,1,True,False,True,False,True
1,3.0,18.75,3,0,True,True,False,False,True
0,21.0,7.775,1,1,True,False,True,False,True
0,28.0,25.4667,5,0,False,False,True,False,True
0,28.0,7.8958,1,1,True,False,True,False,True
0,28.0,6.8583,1,1,True,False,True,True,False
1,33.0,90.0,2,0,False,False,False,True,False
0,28.0,0.0,1,1,True,True,False,False,True
1,44.0,7.925,1,1,True,False,True,False,True
0,28.0,8.05,1,1,False,False,True,False,True
1,34.0,32.5,3,0,False,True,False,False,True
1,18.0,13.0,3,0,False,True,False,False,True
0,30.0,13.0,1,1,True,True,False,False,True
0,10.0,24.15,3,0,False,False,True,False,True
0,28.0,7.8958,1,1,True,False,True,False,False
0,21.0,7.7333,1,1,True,False,True,True,False
0,29.0,7.875,1,1,True,False,True,False,True
0,28.0,14.4,3,0,False,False,True,False,True
0,18.0,20.2125,3,0,True,False,True,False,True
0,28.0,7.25,1,1,True,False,True,False,True
1,28.0,26.0,2,0,False,True,False,False,True
1,19.0,26.0,1,1,False,True,False,False,True
0,28.0,7.75,1,1,True,False,True,True,False
1,32.0,8.05,1,1,True,False,True,False,True
1,28.0,26.55,1,1,True,False,False,False,True
1,28.0,16.1,2,0,False,False,True,False,True
1,42.0,26.0,2,0,False,True,False,False,True
0,17.0,7.125,1,1,True,False,True,False,True
0,50.0,55.9,2,0,True,False,False,False,True
1,14.0,120.0,4,0,False,False,False,False,True
0,21.0,34.375,5,0,False,False,True,False,True
1,24.0,18.75,6,0,False,True,False,False,True
0,64.0,263.0,6,0,True,False,False,False,True
0,31.0,10.5,1,1,True,True,False,False,True
1,45.0,26.25,3,0,False,True,False,False,True
0,20.0,9.5,1,1,True,False,True,False,True
0,25.0,7.775,2,0,True,False,True,False,True
1,28.0,13.0,1,1,False,True,False,False,True
1,28.0,8.1125,1,1,True,False,True,False,True
1,4.0,81.8583,3,0,True,False,False,False,True
1,13.0,19.5,2,0,False,True,False,False,True
1,34.0,26.55,1,1,True,False,False,False,True
1,5.0,19.2583,4,0,False,False,True,False,False
1,52.0,30.5,1,1,True,False,False,False,True
0,36.0,27.75,4,0,True,True,False,False,True
0,28.0,19.9667,2,0,True,False,True,False,True
0,30.0,27.75,1,1,True,False,False,False,False
1,49.0,89.1042,2,0,True,False,False,False,False
0,28.0,8.05,1,1,True,False,True,False,True
